,Year,Name
0,2000,12
1,2001,15
2,2002,22
3,2003,17
4,2004,16
5,2005,18
6,2006,10
7,2007,21
8,2008,19
9,2009,29
10,2010,16
11,2011,22
12,2012,24
13,2013,21
14,2014,15
15,2015,134
16,2016,82
